Date,Winner,Loser,B365W,B365L,Year
2013-01-15,Rosol L.,Baker J.,1.28,3.5,2013
2013-01-15,Del Potro J.M.,Mannarino A.,1.06,10.0,2013
2013-01-15,Nieminen J.,Haas T.,3.0,1.36,2013
2013-01-15,Becker B.,Bedene A.,2.2,1.61,2013
2013-01-15,Simon G.,Volandri F.,1.04,13.0,2013
2013-01-15,Lu Y.H.,Ramirez-Hidalgo R.,1.06,10.0,2013
2013-01-15,Gasquet R.,Montanes A.,1.02,19.0,2013
2013-01-15,Davydenko N.,Sela D.,1.14,5.5,2013
2013-01-15,Ram R.,Garcia-Lopez G.,2.75,1.4,2013
2013-01-15,Brands D.,Klizan M.,1.66,2.1,2013
2013-01-15,Monfils G.,Dolgopolov O.,2.25,1.57,2013
2013-01-15,Tomic B.,Mayer L.,1.05,11.0,2013
2013-01-16,Almagro N.,Gimeno-Traver D.,1.08,8.0,2013
2013-01-16,Nishikori K.,Berlocq C.,1.05,11.0,2013
2013-01-16,Janowicz J.,Devvarman S.,1.18,4.5,2013
2013-01-16,Querrey S.,Baker B.,1.14,5.5,2013
2013-01-16,Melzer J.,Bautista R.,1.8,1.9,2013
2013-01-16,Berdych T.,Rufin G.,1.02,17.0,2013
2013-01-16,Donskoy E.,Youzhny M.,4.0,1.22,2013
2013-01-16,Wawrinka S.,Kamke T.,1.14,5.5,2013
2013-01-16,Ferrer D.,Smyczek T.,1.01,26.0,2013
2013-01-16,Baghdatis M.,Ito T.,1.08,8.0,2013
2013-01-16,Benneteau J.,Roger-Vasselin E.,1.18,4.5,2013
2013-01-16,Stepanek R.,Lopez F.,2.0,1.72,2013
2013-01-16,Tipsarevic J.,Lacko L.,1.12,6.0,2013
2013-01-16,Anderson K.,Kuznetsov An.,1.16,5.0,2013
2013-01-16,Verdasco F.,Malisse X.,1.57,2.25,2013
2013-01-16,Djokovic N.,Harrison R.,1.002,34.0,2013
2013-01-17,Berankis R.,Mayer F.,1.72,2.0,2013
2013-01-17,Seppi A.,Istomin D.,1.5,2.5,2013
2013-01-17,Tsonga J.W.,Soeda G.,1.02,19.0,2013
2013-01-17,Kohlschreiber P.,Weintraub A.,1.05,11.0,2013
2013-01-17,Kavcic B.,Duckworth J.,1.38,2.87,2013
2013-01-17,Raonic M.,Rosol L.,1.18,4.5,2013
2013-01-17,Murray A.,Sousa J.,1.0,41.0,2013
2013-01-17,Tomic B.,Brands D.,1.11,6.5,2013
2013-01-17,Chardy J.,Granollers M.,2.1,1.66,2013
2013-01-17,Cilic M.,Ram R.,1.06,10.0,2013
2013-01-17,Simon G.,Levine J.,1.4,2.75,2013
2013-01-17,Monfils G.,Lu Y.H.,1.3,3.4,2013
2013-01-17,Dodig I.,Nieminen J.,2.87,1.38,2013
2013-01-17,Federer R.,Davydenko N.,1.04,13.0,2013
2013-01-17,Del Potro J.M.,Becker B.,1.02,19.0,2013
2013-01-17,Gasquet R.,Falla A.,1.08,8.0,2013
2013-01-18,Tipsarevic J.,Benneteau J.,1.28,3.5,2013
2013-01-18,Djokovic N.,Stepanek R.,1.0,41.0,2013
2013-01-18,Anderson K.,Verdasco F.,1.66,2.2,2013
2013-01-18,Almagro N.,Janowicz J.,1.4,3.0,2013
2013-01-18,Nishikori K.,Donskoy E.,1.1,7.0,2013
2013-01-18,Wawrinka S.,Querrey S.,1.61,2.25,2013
2013-01-18,Berdych T.,Melzer J.,1.07,9.0,2013
2013-01-18,Ferrer D.,Baghdatis M.,1.12,6.0,2013
2013-01-19,Gasquet R.,Dodig I.,1.07,9.0,2013
2013-01-19,Chardy J.,Del Potro J.M.,13.0,1.04,2013
2013-01-19,Seppi A.,Cilic M.,2.87,1.4,2013
2013-01-19,Murray A.,Berankis R.,1.01,26.0,2013
2013-01-19,Tsonga J.W.,Kavcic B.,1.02,19.0,2013
2013-01-19,Raonic M.,Kohlschreiber P.,1.61,2.25,2013
2013-01-19,Federer R.,Tomic B.,1.08,8.0,2013
2013-01-19,Simon G.,Monfils G.,1.53,2.5,2013
2013-01-20,Ferrer D.,Nishikori K.,1.2,4.5,2013
2013-01-20,Almagro N.,Tipsarevic J.,1.72,2.1,2013
2013-01-20,Berdych T.,Anderson K.,1.2,4.5,2013
2013-01-20,Djokovic N.,Wawrinka S.,1.02,19.0,2013
2013-01-21,Chardy J.,Seppi A.,2.5,1.53,2013
2013-01-21,Tsonga J.W.,Gasquet R.,1.53,2.5,2013
